,bin_width,corr_coef,first_cell_id,p_value,region,second_cell_id,stim_id
17407,0.07,0.2781345045855504,3592,2.2802153548603697e-06,striatum,3522,10
17408,0.07,0.21854129643696704,3592,0.00022854097773048143,striatum,3129,10
17409,0.07,-0.0011448886938424307,3587,0.9847837025631548,striatum,3522,10
17410,0.07,-0.03268250726134687,3587,0.586041046828611,striatum,3129,10
17411,0.07,0.28500434068627967,3522,1.2431630202762072e-06,striatum,3129,10
17412,0.08,0.3191699829613425,3449,2.5129459796977646e-07,striatum,3592,10
17413,0.08,0.056920401547660336,3449,0.3701421805597048,striatum,3587,10
17414,0.08,0.35145215462972207,3449,1.1141501803231958e-08,striatum,3522,10
17415,0.08,0.28648520422914475,3449,4.146686435983783e-06,striatum,3129,10
17416,0.08,-0.01920234357347551,3592,0.7625590707009342,striatum,3587,10
17417,0.08,0.24934970259071448,3592,6.721144986631277e-05,striatum,3522,10
17418,0.08,0.26414278602773994,3592,2.3273862667834915e-05,striatum,3129,10
17419,0.08,0.06259559746689973,3587,0.32426549751642764,striatum,3522,10
17420,0.08,0.059426460284602856,3587,0.34941058182290075,striatum,3129,10
17421,0.08,0.2911384657549702,3522,2.840157984418265e-06,striatum,3129,10
17422,0.09,0.33573893320805154,3449,3.391856014082549e-07,striatum,3592,10
17423,0.09,0.043568990976622736,3449,0.5203172081133314,striatum,3587,10
17424,0.09,0.39449375371868384,3449,1.3133673573738136e-09,striatum,3522,10
17425,0.09,0.25650360552842977,3449,0.0001193494573361034,striatum,3129,10
17426,0.09,-0.021361858828824576,3592,0.752702024972002,striatum,3587,10
17427,0.09,0.29731858454633425,3592,7.233374491275858e-06,striatum,3522,10
17428,0.09,0.27016574186521514,3592,4.904429018046392e-05,striatum,3129,10
17429,0.09,0.003948239806377199,3587,0.9535666389717304,striatum,3522,10
17430,0.09,0.04681179798644211,3587,0.4897197987909989,striatum,3129,10
17431,0.09,0.2768006025163972,3522,3.1289019388723135e-05,striatum,3129,10
17432,0.1,0.3513723353713847,3449,3.3675784730117927e-07,striatum,3592,10
17433,0.1,0.00444903779942578,3449,0.9501448923678318,striatum,3587,10
17434,0.1,0.3829779841655923,3449,2.1803668966954636e-08,striatum,3522,10
17435,0.1,0.3632717248024607,3449,1.243578152762415e-07,striatum,3129,10
17436,0.1,-0.03202995359878894,3592,0.6525314458444255,striatum,3587,10
17437,0.1,0.2844511301140943,3592,4.461522827937355e-05,striatum,3522,10
17438,0.1,0.30552683677297776,3592,1.0856350172820334e-05,striatum,3129,10
17439,0.1,-0.02923429525509415,3587,0.6811225520503172,striatum,3522,10
17440,0.1,-0.000804249948058752,3587,0.9909820842714496,striatum,3129,10
17441,0.1,0.40815938021361403,3522,1.980476110839198e-09,striatum,3129,10
17442,0.2,0.4321598115865748,3449,7.128741782147696e-06,striatum,3592,10
17443,0.2,-0.0513875802902763,3449,0.6116281299700304,striatum,3587,10
17444,0.2,0.5104149038764308,3449,5.79460882072977e-08,striatum,3522,10
17445,0.2,0.474149461538066,3449,6.254746627299481e-07,striatum,3129,10
17446,0.2,-0.04162027926464006,3592,0.6809637763573907,striatum,3587,10
17447,0.2,0.3146575114070084,3592,0.0014305621703082116,striatum,3522,10
17448,0.2,0.40378914111524866,3592,3.100552021524129e-05,striatum,3129,10
17449,0.2,-0.02527424104130005,3587,0.8028930811074135,striatum,3522,10
17450,0.2,0.1338917381285457,3587,0.18415422474787957,striatum,3129,10
17451,0.2,0.5766472306096373,3522,3.415014546915909e-10,striatum,3129,10
17452,0.3,0.5008377134539126,3449,4.590511434559023e-05,striatum,3592,10
17453,0.3,-0.053828659576702305,3449,0.6829210829976522,striatum,3587,10
17454,0.3,0.5257017640989144,3449,1.608602742815738e-05,striatum,3522,10
17455,0.3,0.6069123222986894,3449,2.738671353842957e-07,striatum,3129,10
17456,0.3,-0.07572637809304861,3592,0.5652496737864425,striatum,3587,10
17457,0.3,0.3007064194804957,3592,0.01956537141919433,striatum,3522,10
17458,0.3,0.4230444535289921,3592,0.0007583249512230494,striatum,3129,10
17459,0.3,-0.13691622882231852,3587,0.2968736215228707,striatum,3522,10
17460,0.3,0.04440691759053858,3587,0.7361885780935287,striatum,3129,10
17461,0.3,0.6577041688289371,3522,1.134055381755204e-08,striatum,3129,10
17462,0.4,0.568216492072311,3449,1.674954019559391e-05,striatum,3592,10
17463,0.4,0.0022797320122797315,3449,0.9874638151664517,striatum,3587,10
17464,0.4,0.60795780458431,3449,2.83139161580318e-06,striatum,3522,10
17465,0.4,0.6200488871255171,3449,1.5696338804286828e-06,striatum,3129,10
17466,0.4,-0.050631415704549355,3592,0.7269489522226212,striatum,3587,10
17467,0.4,0.33052924855463456,3592,0.019058011184599582,striatum,3522,10
17468,0.4,0.4775138214171815,3592,0.00045386324302128955,striatum,3129,10
17469,0.4,0.027327193623753375,3587,0.8505786676319904,striatum,3522,10
17470,0.4,0.17070703121625536,3587,0.2359089689812064,striatum,3129,10
17471,0.4,0.6644131774216332,3522,1.4315671278699536e-07,striatum,3129,10
17472,0.5,0.6169772921957712,3449,2.235345010738354e-05,striatum,3592,10
17473,0.5,0.034158321262017864,3449,0.8342557126375046,striatum,3587,10
17474,0.5,0.6327999506669942,3449,1.1797394493523806e-05,striatum,3522,10
17475,0.5,0.6692389969162715,3449,2.3426606078688804e-06,striatum,3129,10
17476,0.5,-0.026777544560232888,3592,0.8697192886837314,striatum,3587,10
17477,0.5,0.33523387561225665,3592,0.03446479633042742,striatum,3522,10
17478,0.5,0.5087837787668711,3592,0.0008011813605899579,striatum,3129,10
17479,0.5,0.018401381434572976,3587,0.910268753060906,striatum,3522,10
17480,0.5,0.19407712086464138,3587,0.23014741197224103,striatum,3129,10
17481,0.5,0.6795973948553059,3522,1.419662424532383e-06,striatum,3129,10
17482,0.6,0.6077417398162283,3449,0.0003679038948263906,striatum,3592,10
17483,0.6,0.0042691818709584715,3449,0.9821370728020877,striatum,3587,10
17484,0.6,0.5852234941786874,3449,0.0006812620438101333,striatum,3522,10
17485,0.6,0.6470100392185714,3449,0.00011160962878983905,striatum,3129,10
17486,0.6,-0.06612087854730839,3592,0.7284782454943965,striatum,3587,10
17487,0.6,0.3248934807418566,3592,0.07981205633809857,striatum,3522,10
17488,0.6,0.45287102113789673,3592,0.011970153111105861,striatum,3129,10
17489,0.6,-0.08799956025233145,3587,0.6437861378397529,striatum,3522,10
17490,0.6,0.15829559000378526,3587,0.40345537264080533,striatum,3129,10
17491,0.6,0.724629118949569,3522,5.9522268871112165e-06,striatum,3129,10
17492,0.7,0.7099233706150441,3449,0.0004540145040313865,striatum,3592,10
17493,0.7,-0.1500055124268481,3449,0.5278852899187076,striatum,3587,10
17494,0.7,0.6176853835017148,3449,0.0037070515854885256,striatum,3522,10
17495,0.7,0.6709759739210172,3449,0.0012016062472163043,striatum,3129,10
17496,0.7,-0.23760628487771182,3592,0.31310476759215683,striatum,3587,10
17497,0.7,0.42370683501314,3592,0.06264835976256511,striatum,3522,10
17498,0.7,0.5329990410575154,3592,0.015528575265629476,striatum,3129,10
17499,0.7,-0.25403382193433177,3587,0.27979634339979004,striatum,3522,10
17500,0.7,-0.018877748485176423,3587,0.93703704128119,striatum,3129,10
17501,0.7,0.8313832900090108,3522,5.576156781698888e-06,striatum,3129,10
17502,0.8,0.7405277161275124,3449,0.0001884577871109801,striatum,3592,10
17503,0.8,-0.05100251576113643,3449,0.8309042916820446,striatum,3587,10
17504,0.8,0.632449052804084,3449,0.0027691325999652672,striatum,3522,10
17505,0.8,0.7027369336265283,3449,0.0005494756165326597,striatum,3129,10
17506,0.8,-0.26375221831418155,3592,0.26117117758532754,striatum,3587,10
17507,0.8,0.39350758051279716,3592,0.08606059460483448,striatum,3522,10
17508,0.8,0.5147976115503758,3592,0.020200180917398548,striatum,3129,10
17509,0.8,-0.2682561193852782,3587,0.2528119407461891,striatum,3522,10
17510,0.8,0.10735857187588466,3587,0.6523403484166097,striatum,3129,10
17511,0.8,0.7653600415266163,3522,8.418511400135009e-05,striatum,3129,10
17512,0.9,0.7539157065446064,3449,0.00012345623182164088,striatum,3592,10
17513,0.9,-0.011387301903391718,3449,0.9619969709594,striatum,3587,10
17514,0.9,0.6046577973333832,3449,0.004740254704299904,striatum,3522,10
17515,0.9,0.729352402282218,3449,0.00026328314344688697,striatum,3129,10
17516,0.9,-0.15078485501474231,3592,0.5257186437691429,striatum,3587,10
17517,0.9,0.36811619162458786,3592,0.11028152726717368,striatum,3522,10
17518,0.9,0.5780693269617446,3592,0.00759221175791526,striatum,3129,10
17519,0.9,-0.12174043041524953,3587,0.6091464546282099,striatum,3522,10
17520,0.9,0.10540515265693848,3587,0.6582942031691381,striatum,3129,10
17521,0.9,0.7501839187606972,3522,0.00013926548899984847,striatum,3129,10
17522,1.0,0.7450124126378713,3449,0.00016402437188016954,striatum,3592,10
17523,1.0,0.0003829575090733418,3449,0.9987215081693799,striatum,3587,10
17524,1.0,0.6910379502098027,3449,0.0007412064228694346,striatum,3522,10
17525,1.0,0.7547122838246794,3449,0.00012028896337739671,striatum,3129,10
17526,1.0,-0.12332025027950935,3592,0.6044734511283452,striatum,3587,10
17527,1.0,0.3720920964053267,3592,0.10619674754157651,striatum,3522,10
17528,1.0,0.6114771506998985,3592,0.004173272540074889,striatum,3129,10
17529,1.0,-0.050296699112725156,3587,0.8332127114861207,striatum,3522,10
17530,1.0,0.16499805213145927,3587,0.48694932313045225,striatum,3129,10
17531,1.0,0.7473047663918784,3522,0.00015262042051294205,striatum,3129,10
17532,1.1,0.7381995433880385,3449,0.014773532101614311,striatum,3592,10
17533,1.1,-0.473010184060881,3449,0.1673724218223066,striatum,3587,10
17534,1.1,0.6717560268754315,3449,0.03339103564676231,striatum,3522,10
17535,1.1,0.7368102730729376,3449,0.015061854400476384,striatum,3129,10
17536,1.1,-0.4824020413903187,3592,0.15792722843989748,striatum,3587,10
17537,1.1,0.41411839879467865,3592,0.23413708633947936,striatum,3522,10
17538,1.1,0.5367152612407986,3592,0.10969481888267664,striatum,3129,10
17539,1.1,-0.5234089951525761,3587,0.12051583021207542,striatum,3522,10
17540,1.1,-0.36525992951347974,3587,0.2993310630759749,striatum,3129,10
17541,1.1,0.8495349362847836,3522,0.001862387492690515,striatum,3129,10
17542,1.2,0.7654747816496982,3449,0.00986233170610966,striatum,3592,10
17543,1.2,-0.47045647523168915,3449,0.1699976471158884,striatum,3587,10
17544,1.2,0.6680040880529697,3449,0.03476596752759673,striatum,3522,10
17545,1.2,0.7703253755965546,3449,0.009129219134245694,striatum,3129,10
17546,1.2,-0.4572034776500986,3592,0.18401429042219522,striatum,3587,10
17547,1.2,0.42200771969774764,3592,0.22443866957380482,striatum,3522,10
17548,1.2,0.5714097362595505,3592,0.08442621115570469,striatum,3129,10
17549,1.2,-0.4814918411238033,3587,0.15882818890775505,striatum,3522,10
17550,1.2,-0.33212815341170115,3587,0.3484475955709834,striatum,3129,10
17551,1.2,0.8712991821427071,3522,0.0010247143457384645,striatum,3129,10
17552,1.3,0.8108954733689702,3449,0.004422543718636243,striatum,3592,10
17553,1.3,-0.45862571887216014,3449,0.1824785396919209,striatum,3587,10
17554,1.3,0.6693296240225907,3449,0.03427591355527283,striatum,3522,10
17555,1.3,0.7466765977478963,3449,0.013097130322577517,striatum,3129,10
17556,1.3,-0.44556685884121855,3592,0.19686496659990602,striatum,3587,10
17557,1.3,0.4296233349321568,3592,0.21529761020103555,striatum,3522,10
17558,1.3,0.5422255377903762,3592,0.10539934463198945,striatum,3129,10
17559,1.3,-0.518696024832108,3587,0.12450186162610637,striatum,3522,10
17560,1.3,-0.36733163998372564,3587,0.29638954926846495,striatum,3129,10
17561,1.3,0.8986612240943411,3522,0.00040762852657334775,striatum,3129,10
17562,1.4,0.8132149307306925,3449,0.004222119027202635,striatum,3592,10
17563,1.4,-0.4095356115916962,3449,0.23987741748812938,striatum,3587,10
17564,1.4,0.6697251278356456,3449,0.03413060676592673,striatum,3522,10
17565,1.4,0.7752731163481209,3449,0.008421932396797154,striatum,3129,10
17566,1.4,-0.4375271779354873,3592,0.2060405329395005,striatum,3587,10
17567,1.4,0.42809222022575466,3592,0.2171179630156415,striatum,3522,10
17568,1.4,0.5661387967240823,3592,0.08799594260343062,striatum,3129,10
17569,1.4,-0.5098444829598753,3587,0.13220674969206433,striatum,3522,10
17570,1.4,-0.3255179698191232,3587,0.3587058009770083,striatum,3129,10
17571,1.4,0.8941286727202475,3522,0.00048285908504327037,striatum,3129,10
17572,1.5,0.798763663857929,3449,0.005583223751310349,striatum,3592,10
17573,1.5,-0.34094352190817695,3449,0.3350020598419809,striatum,3587,10
17574,1.5,0.6938512818351688,3449,0.026036089890460083,striatum,3522,10
17575,1.5,0.7836087195443774,3449,0.007319351583968678,striatum,3129,10
17576,1.5,-0.44380144023386975,3592,0.19885901037705003,striatum,3587,10
