,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
233,hippocampus,1756,13,9.85,34.6204677668312,2000,0.01
234,hippocampus,1756,14,13.65,42.89052691037179,2000,0.01
235,hippocampus,1756,15,12.7,39.490375344790486,2000,0.01
236,hippocampus,1756,16,16.833333333333332,46.44056372252645,1800,0.01
237,hippocampus,1756,17,11.15,38.35900424415763,2000,0.01
238,hippocampus,1779,1,19.2,40.76997787033707,2000,0.01
239,hippocampus,1779,2,19.85,42.80062437305518,2000,0.01
240,hippocampus,1779,3,18.8,41.441750799823545,2000,0.01
241,hippocampus,1779,4,14.3,36.27903091376642,2000,0.01
242,hippocampus,1779,5,13.45,35.70342935116618,2000,0.01
243,hippocampus,1779,6,12.7,34.918757993804945,2000,0.01
244,hippocampus,1779,7,13.6,35.85641980762593,2000,0.01
245,hippocampus,1779,8,18.8,41.80231712307858,2000,0.01
246,hippocampus,1779,9,17.15,38.750849205624895,2000,0.01
247,hippocampus,1779,10,15.2,37.811041210454775,2000,0.01
248,hippocampus,1779,11,15.1,36.91437844076254,2000,0.01
249,hippocampus,1779,12,14.6,37.11507462449984,2000,0.01
250,hippocampus,1779,13,16.1,38.62040610718563,2000,0.01
251,hippocampus,1779,14,13.6,35.15192496741049,2000,0.01
252,hippocampus,1779,15,17.65,40.42641027006554,2000,0.01
253,hippocampus,1779,16,15.38888888888889,37.75029700178604,1800,0.01
254,hippocampus,1779,17,13.4,35.51155495423474,2000,0.01
255,hippocampus,1781,1,28.6,47.99157838410712,2000,0.01
256,hippocampus,1781,2,35.75,51.75206892791016,2000,0.01
257,hippocampus,1781,3,32.9,49.28290172261673,2000,0.01
258,hippocampus,1781,4,29.5,47.65380827091748,2000,0.01
259,hippocampus,1781,5,32.85,50.37009105646446,2000,0.01
260,hippocampus,1781,6,28.2,46.96661507353637,2000,0.01
261,hippocampus,1781,7,27.45,46.82514065006584,2000,0.01
262,hippocampus,1781,8,27.0,47.35104075445717,2000,0.01
263,hippocampus,1781,9,26.55,46.59595574237932,2000,0.01
264,hippocampus,1781,10,30.35,49.14351475547165,2000,0.01
265,hippocampus,1781,11,29.5,47.758668796592374,2000,0.01
266,hippocampus,1781,12,32.85,49.67002169848289,2000,0.01
267,hippocampus,1781,13,30.75,48.172583477528434,2000,0.01
268,hippocampus,1781,14,25.7,44.83876958201256,2000,0.01
269,hippocampus,1781,15,27.75,46.432914056236875,2000,0.01
270,hippocampus,1781,16,26.0,45.614816741848706,1800,0.01
271,hippocampus,1781,17,21.55,42.561758088991276,2000,0.01
272,motor_cortex,3452,1,32.3,55.30134826168147,2000,0.01
273,motor_cortex,3452,2,37.75,59.596252874474786,2000,0.01
274,motor_cortex,3452,3,27.25,51.708552360258565,2000,0.01
275,motor_cortex,3452,4,36.9,57.87974630659892,2000,0.01
276,motor_cortex,3452,5,32.05,57.17894906438952,2000,0.01
277,motor_cortex,3452,6,27.9,52.46871909282354,2000,0.01
278,motor_cortex,3452,7,21.1,45.23066334305992,2000,0.01
279,motor_cortex,3452,8,28.1,53.68268729728169,2000,0.01
280,motor_cortex,3452,9,30.5,56.933036853330314,2000,0.01
281,motor_cortex,3452,10,35.1,59.073977921194015,2000,0.01
282,motor_cortex,3452,11,34.45,58.650809531747825,2000,0.01
283,motor_cortex,3452,12,37.15,63.77233691403927,2000,0.01
284,motor_cortex,3452,13,29.95,54.21685377829305,2000,0.01
285,motor_cortex,3452,14,23.8,48.3190165843826,2000,0.01
286,motor_cortex,3452,15,31.45,54.19747395489517,2000,0.01
287,motor_cortex,3452,16,23.77777777777778,49.242799611407825,1800,0.01
288,motor_cortex,3452,17,24.65,53.37416885489152,2000,0.01
289,motor_cortex,3454,1,10.6,30.79146078101059,2000,0.01
290,motor_cortex,3454,2,15.0,35.85586174408172,2000,0.01
291,motor_cortex,3454,3,11.75,32.209567338200266,2000,0.01
292,motor_cortex,3454,4,12.25,32.946627143306486,2000,0.01
293,motor_cortex,3454,5,14.9,36.03663857326085,2000,0.01
294,motor_cortex,3454,6,10.35,30.957336421907673,2000,0.01
295,motor_cortex,3454,7,6.55,24.746791748647453,2000,0.01
296,motor_cortex,3454,8,10.8,31.206520527955885,2000,0.01
297,motor_cortex,3454,9,12.9,33.973034653115235,2000,0.01
298,motor_cortex,3454,10,14.75,35.889852894242765,2000,0.01
299,motor_cortex,3454,11,13.05,33.9893385868096,2000,0.01
300,motor_cortex,3454,12,10.15,30.206517787696544,2000,0.01
301,motor_cortex,3454,13,8.7,28.543254171158214,2000,0.01
302,motor_cortex,3454,14,8.05,27.213375091890878,2000,0.01
303,motor_cortex,3454,15,10.0,30.173750638821947,2000,0.01
304,motor_cortex,3454,16,9.833333333333334,29.970802912790855,1800,0.01
305,motor_cortex,3454,17,9.4,29.530933578520838,2000,0.01
306,motor_cortex,3455,1,10.45,31.08505493513177,2000,0.01
307,motor_cortex,3455,2,12.15,33.73346221834657,2000,0.01
308,motor_cortex,3455,3,10.45,30.923706728316226,2000,0.01
309,motor_cortex,3455,4,11.05,32.14676044492748,2000,0.01
310,motor_cortex,3455,5,11.1,32.36222577061737,2000,0.01
311,motor_cortex,3455,6,11.45,32.930832359051124,2000,0.01
312,motor_cortex,3455,7,10.0,30.339087496413864,2000,0.01
313,motor_cortex,3455,8,9.65,29.7038492342266,2000,0.01
314,motor_cortex,3455,9,11.95,33.507594354708914,2000,0.01
315,motor_cortex,3455,10,10.7,32.18738905234476,2000,0.01
316,motor_cortex,3455,11,10.95,31.711201493322143,2000,0.01
317,motor_cortex,3455,12,12.8,34.3037661808014,2000,0.01
318,motor_cortex,3455,13,10.2,31.72480467419474,2000,0.01
319,motor_cortex,3455,14,10.05,30.56901588808814,2000,0.01
320,motor_cortex,3455,15,12.75,34.82878151774777,2000,0.01
321,motor_cortex,3455,16,12.222222222222221,32.93255451388421,1800,0.01
322,motor_cortex,3455,17,10.1,30.63428193404911,2000,0.01
323,motor_cortex,3456,1,16.8,37.795161556984475,2000,0.01
324,motor_cortex,3456,2,17.8,39.03744306406978,2000,0.01
325,motor_cortex,3456,3,15.05,36.04368285201682,2000,0.01
326,motor_cortex,3456,4,14.35,35.49235627113027,2000,0.01
327,motor_cortex,3456,5,16.7,37.57413881852753,2000,0.01
328,motor_cortex,3456,6,19.65,40.984355047741545,2000,0.01
329,motor_cortex,3456,7,17.85,39.20645448183907,2000,0.01
