cluster_id,amplitude,depth,group,probe,region
59,96.17475283891076,2832.406120217603,mua,frontal,motor_cortex
62,83.83026410836503,2191.376745598286,mua,frontal,motor_cortex
64,56.6475262010253,1242.4399614452307,good,frontal,striatum
65,233.98235837660587,2450.424095009395,mua,frontal,motor_cortex
67,51.342696589135194,1169.2753575244992,good,frontal,striatum
70,94.15561100628001,828.3133214858973,mua,frontal,striatum
71,86.97996849414665,2156.109550264708,good,frontal,motor_cortex
72,171.72823020709623,2595.8648870917677,mua,frontal,motor_cortex
77,123.83614293506209,2453.736952083806,good,frontal,motor_cortex
79,59.761073819902954,2169.1787316126306,good,frontal,motor_cortex
82,212.96023195101668,2416.2570969007406,good,frontal,motor_cortex
84,164.78111987288247,2395.321766467616,good,frontal,motor_cortex
86,72.18459791580668,2581.5309032214327,mua,frontal,motor_cortex
87,79.28269438806247,860.5485108562939,mua,frontal,striatum
88,119.00269509826369,723.963922329376,good,frontal,striatum
92,116.40460656717528,2975.909761544336,good,frontal,motor_cortex
95,58.00759139119345,1190.0690770754736,mua,frontal,striatum
97,317.70484407964875,882.3084029648088,good,frontal,striatum
98,57.52043353685052,2945.8823718760777,mua,frontal,motor_cortex
102,176.78323448912977,2375.6374513357923,good,frontal,motor_cortex
103,70.78251911195836,594.3796920244328,mua,frontal,striatum
104,420.67908921825773,2321.5174138610623,good,frontal,motor_cortex
106,109.6802723366057,680.0,mua,frontal,striatum
107,90.54080594524565,767.3872545431775,good,frontal,striatum
108,55.40795596103592,2842.6284983461937,mua,frontal,motor_cortex
109,106.31415848664028,2450.314025581427,mua,frontal,motor_cortex
113,66.88046927591448,2339.944395365161,mua,frontal,motor_cortex
119,245.16709469360896,562.9527354679016,mua,frontal,striatum
120,98.98976046991785,2546.3496234329195,good,frontal,motor_cortex
121,283.9843916830339,698.5159013941885,unsorted,frontal,striatum
122,79.43190960650593,1735.318928905518,good,frontal,motor_cortex
123,132.79164745429983,166.130343888098,good,frontal,striatum
126,120.39251383744727,625.9555198178836,mua,frontal,striatum
128,74.97640004450493,2236.7971847429594,mua,frontal,motor_cortex
131,156.50747707766484,3146.004900000066,good,frontal,motor_cortex
132,284.1706566094705,217.77963713701607,good,frontal,striatum
134,386.95681717579396,2781.127306143592,good,frontal,motor_cortex
136,177.89278670727433,356.2485508123623,good,frontal,striatum
138,67.04478496203616,570.6771077045718,mua,frontal,striatum
139,52.504581882207866,1000.8541994805603,mua,frontal,striatum
144,114.31346668418976,840.0,mua,frontal,striatum
145,172.23300467072156,2480.2349298236945,good,frontal,motor_cortex
150,131.921145032152,3038.2254862006225,good,frontal,motor_cortex
152,83.81113898794437,263.45760215507164,mua,frontal,striatum
156,215.2617061352323,2365.996106794542,good,frontal,motor_cortex
162,118.16471216822102,2836.967587517894,good,frontal,motor_cortex
163,126.56083609301096,1720.0,good,frontal,motor_cortex
167,127.42524992823287,3073.8539599111978,good,frontal,motor_cortex
168,60.98517053163139,2547.9010386839523,mua,frontal,motor_cortex
169,256.1054473444508,529.4807245668482,good,frontal,striatum
170,45.64452358869642,2743.1422476304606,mua,frontal,motor_cortex
172,64.8423239039355,1132.5862311601966,mua,frontal,striatum
173,183.73205357718314,2484.593862061641,good,frontal,motor_cortex
174,92.10417600879417,3099.2085043581196,unsorted,frontal,motor_cortex
177,207.38538308201024,3017.7150461843707,mua,frontal,motor_cortex
180,106.82478321411526,2742.750635154315,good,frontal,motor_cortex
182,226.11705635707477,2395.109346991418,mua,frontal,motor_cortex
184,58.747291368993785,2061.10906914952,mua,frontal,motor_cortex
186,110.63484945233579,929.4109794451832,mua,frontal,striatum
188,109.72380327196161,2648.012390264564,mua,frontal,motor_cortex
190,108.07164537130838,326.8513917933711,good,frontal,striatum
193,82.47106022498411,1007.1921862909637,mua,frontal,striatum
195,159.30389862940382,2283.4191361227086,good,frontal,motor_cortex
198,100.45655373470312,2744.2125100919297,mua,frontal,motor_cortex
201,67.11870839345467,2242.044012820408,mua,frontal,motor_cortex
202,168.32388814138415,491.99487860806653,good,frontal,striatum
207,159.05230555218577,266.22635594466,good,frontal,striatum
211,110.69704425780212,864.8139637109498,good,frontal,striatum
212,64.87200062014608,1208.5369671285282,mua,frontal,striatum
213,66.6685892719463,421.63945961827903,mua,frontal,striatum
217,41.637598599438284,2899.8117042570775,mua,frontal,motor_cortex
226,74.24682303200518,1083.850471741709,mua,frontal,striatum
228,235.77582549323918,513.9425815267591,good,frontal,striatum
230,171.1551995167821,2522.835616696978,mua,frontal,motor_cortex
231,126.39626239222788,2771.4906608026886,mua,frontal,motor_cortex
240,141.79094750021957,2172.6451552440453,good,frontal,motor_cortex
243,116.93314352592556,1919.9999999999998,unsorted,frontal,motor_cortex
244,69.60884325515873,1816.7051775961336,good,frontal,motor_cortex
248,272.22849156492214,3041.2148851649313,good,frontal,motor_cortex
249,100.55150234490807,611.3554519210028,good,frontal,striatum
252,197.2429373427806,542.4327126717186,mua,frontal,striatum
253,141.8267751322928,834.5134871838377,good,frontal,striatum
254,66.24229583555388,3022.8279184305475,mua,frontal,motor_cortex
258,71.99975874225338,1416.213673154015,mua,frontal,striatum
264,208.46001716761216,2408.9582133252825,good,frontal,motor_cortex
266,84.77584364056918,1116.1478327055709,mua,frontal,striatum
269,42.79351965640046,1892.7551777016606,mua,frontal,motor_cortex
271,120.1806944416099,601.9355654689533,mua,frontal,striatum
272,210.08214929608116,840.0,good,frontal,striatum
273,204.36632760834738,3112.2329983457867,good,frontal,motor_cortex
275,37.77707263662112,179.61705733594124,mua,frontal,striatum
277,245.97704619994084,239.11173906258858,unsorted,frontal,striatum
278,282.58415755143733,2385.1203534888964,good,frontal,motor_cortex
281,59.926929062492185,2111.9586021826462,good,frontal,motor_cortex
283,63.6560370612196,2498.12624486739,mua,frontal,motor_cortex
286,140.91851632020047,2660.2137700750827,mua,frontal,motor_cortex
287,132.45388983458764,2111.851520011784,mua,frontal,motor_cortex
288,133.7393022965723,195.61660555013984,good,frontal,striatum
291,192.19181065781657,472.18620500810476,good,frontal,striatum
292,107.94385033327978,2391.0174752957655,good,frontal,motor_cortex
293,58.12544243323977,887.3103551663997,mua,frontal,striatum
294,119.50075921590594,840.0,mua,frontal,striatum
296,116.87997399536667,186.5929135914178,good,frontal,striatum
297,50.61285451338767,242.05772106845302,mua,frontal,striatum
298,100.61736444177323,2648.012404679975,mua,frontal,motor_cortex
300,81.86509013425142,2892.406179330405,mua,frontal,motor_cortex
304,59.21156026935689,389.7904325171836,mua,frontal,striatum
305,89.83796436724995,937.347039501254,mua,frontal,striatum
310,104.93621047456017,835.1599293493953,mua,frontal,striatum
312,48.13609501934967,2993.129889417979,mua,frontal,motor_cortex
